,Anti-Mage,Axe,Bane,Bloodseeker,Crystal Maiden,Drow Ranger,Earthshaker,Juggernaut,Mirana,Morphling,Shadow Fiend,Phantom Lancer,Puck,Pudge,Razor,Sand King,Storm Spirit,Sven,Tiny,Vengeful Spirit,Windranger,Zeus,Kunkka,Lina,Lion,Shadow Shaman,Slardar,Tidehunter,Witch Doctor,Lich,Riki,Enigma,Tinker,Sniper,Necrophos,Warlock,Beastmaster,Queen of Pain,Venomancer,Faceless Void,Wraith King,Death Prophet,Phantom Assassin,Pugna,Templar Assassin,Viper,Luna,Dragon Knight,Dazzle,Clockwerk,Leshrac,Nature's Prophet,Lifestealer,Dark Seer,Clinkz,Omniknight,Enchantress,Huskar,Night Stalker,Broodmother,Bounty Hunter,Weaver,Jakiro,Batrider,Chen,Spectre,Ancient Apparition,Doom,Ursa,Spirit Breaker,Gyrocopter,Alchemist,Invoker,Silencer,Outworld Destroyer,Lycan,Brewmaster,Shadow Demon,Lone Druid,Chaos Knight,Meepo,Treant Protector,Ogre Magi,Undying,Rubick,Disruptor,Nyx Assassin,Naga Siren,Keeper of the Light,Io,Visage,Slark,Medusa,Troll Warlord,Centaur Warrunner,Magnus,Timbersaw,Bristleback,Tusk,Skywrath Mage,Abaddon,Elder Titan,Legion Commander,Techies,Ember Spirit,Earth Spirit,Underlord,Terrorblade,Phoenix,Oracle,Winter Wyvern,Arc Warden,Monkey King,Dark Willow,Pangolier,Grimstroke,Hoodwink,Void Spirit,Snapfire,Mars,Dawnbreaker,Marci,Primal Beast
Shadow Fiend,0.0,-0.09,0.06,0.02,-0.03,-0.05,0.07,0.03,-0.02,0.0,0.0,-0.12,0.02,0.0,-0.03,-0.07,0.0,0.02,0.02,-0.04,-0.01,-0.05,0.0,0.04,-0.02,0.03,0.08,0.0,0.0,0.02,0.03,0.07,0.08,-0.07,-0.02,0.03,0.02,0.03,0.05,0.02,0.04,0.05,0.01,0.01,0.03,-0.08,-0.02,0.01,-0.06,-0.04,-0.01,-0.01,-0.04,-0.07,0.06,-0.02,0.0,0.13,0.08,-0.17,-0.04,0.02,-0.03,-0.06,0.01,-0.01,0.05,0.03,-0.01,-0.09,-0.04,0.0,0.01,0.0,0.03,-0.12,0.02,-0.01,0.08,0.07,0.18,0.07,-0.05,0.01,0.01,0.02,0.03,0.0,0.04,0.04,0.08,0.05,0.01,0.05,0.01,0.01,-0.06,0.08,-0.01,0.07,-0.03,0.01,0.05,-0.02,0.02,0.0,-0.08,0.01,0.0,0.04,0.02,0.12,-0.05,0.01,-0.02,0.04,-0.03,0.05,-0.06,0.01,-0.03,0.02,-0.02
Phantom Lancer,-0.07,0.26,0.01,0.0,0.05,0.12,0.11,-0.14,0.12,-0.07,0.12,0.0,-0.02,-0.01,0.08,-0.06,-0.02,0.07,-0.01,0.01,0.2,0.17,0.02,-0.06,0.03,0.15,-0.06,0.07,0.26,0.01,-0.14,0.19,-0.05,0.09,-0.06,0.18,0.04,-0.08,-0.1,-0.01,0.03,-0.03,-0.2,-0.06,0.02,0.14,0.09,-0.08,-0.13,0.04,0.03,0.01,0.07,-0.1,-0.07,0.13,-0.04,-0.04,-0.13,0.21,-0.08,0.07,-0.02,0.01,-0.11,-0.12,-0.07,-0.05,-0.01,-0.09,-0.01,0.15,0.1,0.16,0.03,-0.12,0.1,0.01,-0.19,0.06,-0.53,-0.02,0.0,-0.03,0.01,0.06,0.09,-0.0,-0.25,-0.02,0.05,-0.08,0.02,0.04,-0.01,-0.32,-0.08,-0.03,0.02,0.0,-0.06,-0.15,-0.04,-0.07,-0.03,-0.11,-0.01,0.08,-0.02,-0.09,0.06,-0.27,-0.03,-0.08,0.04,-0.04,-0.05,0.08,-0.01,0.03,-0.02,0.01,-0.18
Puck,-0.07,0.02,-0.04,0.0,0.02,-0.09,-0.08,0.05,0.0,0.03,-0.02,0.02,0.0,0.0,-0.03,-0.04,0.0,0.02,0.0,0.03,0.15,-0.02,0.06,0.01,-0.03,-0.01,-0.07,0.01,0.18,0.08,-0.06,-0.01,0.04,0.01,0.05,0.0,0.02,-0.04,0.07,0.0,-0.01,-0.06,0.02,0.03,-0.03,0.02,0.0,-0.03,0.06,0.01,0.02,0.05,-0.05,0.02,-0.06,-0.02,0.04,-0.05,-0.02,0.02,0.1,-0.02,0.0,-0.02,-0.03,0.03,0.06,0.03,-0.02,-0.02,0.01,-0.01,0.05,0.0,0.02,-0.07,0.02,0.01,0.03,0.0,-0.19,0.0,-0.01,-0.03,-0.01,-0.05,-0.05,0.01,-0.06,0.03,0.01,0.06,0.01,-0.01,-0.1,0.01,0.07,0.05,-0.01,-0.02,0.0,0.05,-0.15,-0.06,0.01,-0.03,0.02,0.04,0.06,0.02,0.01,0.09,-0.03,0.12,0.05,0.01,0.05,-0.01,0.03,0.01,0.02,0.06,0.03
Pudge,0.02,0.03,-0.07,-0.04,-0.07,-0.03,0.03,0.04,-0.01,0.02,0.0,0.01,0.0,0.0,-0.02,0.05,0.03,-0.03,0.01,0.0,0.07,-0.02,0.07,-0.04,0.05,0.01,0.06,-0.06,0.02,0.01,-0.02,-0.04,-0.02,0.08,0.1,0.0,0.02,-0.01,0.04,0.07,0.01,0.03,0.08,-0.06,0.03,-0.03,0.04,-0.03,0.07,0.0,-0.02,0.02,0.0,-0.01,-0.04,0.01,0.06,-0.13,-0.01,-0.08,0.16,-0.1,0.01,0.05,0.07,0.09,0.02,0.02,-0.08,-0.03,0.04,-0.07,0.04,0.0,0.01,-0.06,-0.08,-0.02,0.02,-0.08,0.06,-0.03,0.04,-0.06,0.0,0.0,-0.01,0.06,-0.1,0.01,0.02,0.01,0.08,-0.02,0.02,-0.02,-0.01,-0.06,-0.03,0.02,0.0,0.04,0.02,0.02,-0.03,-0.02,-0.01,0.03,-0.1,-0.01,-0.01,0.03,-0.01,-0.05,-0.07,0.03,0.02,-0.05,0.01,0.0,0.0,-0.03,-0.05
Razor,0.09,-0.03,-0.01,0.02,-0.05,-0.1,0.07,-0.02,-0.01,-0.09,0.03,-0.08,0.03,0.02,0.0,0.04,0.03,0.01,0.01,0.02,0.0,-0.01,-0.05,0.02,0.04,-0.01,0.07,-0.01,0.04,0.07,0.09,-0.09,-0.11,0.06,0.09,-0.01,0.01,-0.05,0.03,0.0,0.0,-0.01,-0.06,0.06,-0.03,-0.02,-0.01,0.02,0.04,0.01,-0.02,-0.02,0.02,0.14,0.13,0.0,0.11,0.02,0.07,-0.07,-0.05,-0.02,-0.01,0.03,0.01,-0.19,0.01,-0.01,0.07,0.04,0.06,0.02,-0.01,0.05,0.0,-0.05,-0.1,0.04,-0.03,0.02,-0.18,-0.04,0.01,-0.01,-0.02,0.03,-0.06,-0.03,-0.04,0.05,0.01,-0.07,0.03,0.2,0.0,0.07,-0.02,-0.07,-0.03,0.01,-0.03,-0.06,-0.04,0.0,-0.03,-0.01,-0.03,-0.02,0.05,0.0,-0.07,-0.1,0.04,-0.01,-0.03,0.05,-0.06,-0.02,0.04,-0.01,-0.02,-0.03,0.02
Sand King,-0.02,0.04,-0.02,-0.05,0.05,0.01,0.05,-0.1,-0.04,0.11,0.07,0.06,0.04,-0.05,-0.04,0.0,0.0,0.04,-0.02,-0.02,0.01,0.01,0.03,0.06,0.02,0.05,-0.04,0.12,-0.08,0.06,0.04,0.14,-0.12,-0.13,0.02,-0.08,-0.1,0.0,-0.19,-0.01,0.01,0.02,0.03,-0.02,-0.04,-0.08,-0.05,-0.04,-0.04,0.0,0.06,0.0,0.01,0.19,0.03,0.08,0.04,0.0,0.04,0.08,-0.09,-0.02,-0.02,0.03,0.02,-0.12,0.03,0.03,-0.01,0.04,-0.03,-0.04,-0.01,0.01,-0.11,0.05,-0.1,0.01,-0.03,0.02,-0.16,-0.1,-0.02,0.03,0.0,0.05,0.0,-0.1,-0.03,0.04,-0.05,-0.04,0.02,0.08,0.04,-0.02,-0.06,-0.04,0.02,-0.03,0.02,0.24,-0.04,0.1,0.01,-0.01,-0.04,0.06,0.07,-0.06,0.08,-0.28,0.04,0.16,0.01,0.03,-0.01,0.01,-0.03,0.02,0.03,-0.09,-0.01
Storm Spirit,0.01,0.01,-0.06,0.02,-0.03,-0.09,0.03,-0.04,-0.02,0.0,-0.0,0.02,-0.0,-0.03,-0.03,0.0,0.0,-0.04,0.02,-0.12,0.01,-0.05,-0.06,-0.0,0.01,-0.04,0.07,0.05,-0.01,0.01,-0.01,-0.06,-0.13,0.0,-0.02,0.04,-0.05,-0.04,0.06,0.05,0.02,-0.0,0.04,-0.01,-0.02,0.01,0.01,-0.01,0.04,0.05,-0.01,0.0,0.02,-0.01,-0.05,-0.01,0.02,-0.03,-0.08,0.05,-0.05,-0.01,0.0,0.06,-0.01,0.21,0.16,0.06,0.05,0.04,0.03,0.04,-0.02,0.03,-0.01,0.12,-0.02,0.04,-0.15,-0.04,0.17,-0.04,-0.02,0.01,-0.02,-0.04,-0.02,0.05,0.01,0.05,-0.07,-0.11,-0.06,-0.03,0.03,-0.16,-0.06,-0.14,0.01,-0.01,-0.01,-0.15,-0.03,0.02,0.04,0.05,0.07,-0.02,-0.07,0.04,0.11,0.18,0.03,0.04,-0.01,-0.01,-0.02,0.05,0.01,-0.03,-0.08,-0.01,-0.06
Sven,-0.28,0.08,0.2,-0.06,0.0,0.03,-0.01,-0.04,0.01,0.14,-0.02,-0.07,-0.02,0.03,-0.01,-0.04,0.04,0.0,0.01,0.08,-0.01,0.02,-0.13,0.02,0.02,-0.06,0.12,0.07,-0.16,-0.02,0.13,-0.04,-0.18,-0.08,0.01,0.11,-0.08,-0.02,-0.12,0.13,-0.18,-0.0,0.05,-0.14,0.06,0.05,-0.0,-0.1,0.04,0.01,0.05,-0.01,-0.12,0.0,0.05,-0.09,-0.03,-0.12,0.09,-0.05,0.03,0.03,-0.12,0.01,0.2,0.43,-0.21,0.16,0.02,-0.12,0.03,-0.13,0.05,0.02,-0.07,-0.01,0.15,-0.05,0.17,-0.07,-0.08,-0.05,0.08,-0.04,-0.01,0.04,-0.07,-0.03,0.08,-0.01,0.03,-0.06,0.14,0.04,0.04,0.04,0.07,0.08,0.0,0.02,0.09,0.06,0.03,0.02,-0.07,-0.09,-0.12,0.12,-0.07,0.05,-0.06,-0.24,-0.06,-0.01,0.03,-0.04,0.03,-0.05,-0.09,-0.02,-0.04,0.03,0.23
Tiny,-0.02,-0.03,-0.01,-0.06,-0.01,0.01,0.02,0.03,0.0,0.02,-0.02,0.01,0.0,-0.01,-0.01,0.02,-0.02,-0.01,0.0,-0.02,0.01,-0.01,-0.03,-0.01,0.01,-0.03,0.02,0.03,-0.02,-0.03,-0.02,-0.02,-0.04,0.01,-0.01,-0.03,0.0,0.02,-0.04,-0.01,0.01,-0.01,-0.01,-0.06,-0.03,-0.02,0.02,0.03,0.01,0.01,-0.01,0.0,-0.05,0.04,0.08,0.07,0.0,0.0,0.0,0.0,-0.08,0.05,0.05,0.03,-0.01,0.02,-0.05,-0.01,0.02,-0.01,0.02,0.02,0.01,-0.01,-0.04,-0.04,0.04,-0.02,0.04,0.01,-0.01,0.0,0.0,-0.02,0.0,-0.05,0.0,-0.01,0.02,-0.01,0.0,0.01,-0.01,0.0,-0.04,0.02,0.01,0.0,-0.01,0.0,0.01,-0.06,0.0,-0.03,0.02,-0.01,-0.01,-0.02,-0.04,0.0,-0.03,0.09,0.04,-0.05,0.0,0.02,0.0,0.02,0.02,0.0,-0.01,0.02,0.01
Vengeful Spirit,0.06,0.02,0.02,0.04,0.01,0.07,-0.08,-0.05,0.05,0.04,0.04,-0.01,-0.03,0.0,-0.02,0.02,0.12,-0.08,0.02,0.0,-0.09,-0.04,-0.1,0.03,0.08,0.05,-0.1,-0.01,-0.09,-0.02,-0.1,0.04,0.08,-0.03,0.06,-0.1,0.0,-0.03,-0.14,-0.14,0.05,0.0,0.09,0.04,-0.03,-0.02,0.01,-0.02,0.02,-0.01,0.02,0.13,-0.03,-0.04,0.15,0.06,0.0,0.0,0.04,-0.12,0.0,-0.09,-0.11,0.05,-0.1,-0.03,0.2,0.0,0.04,-0.03,-0.05,0.03,-0.03,-0.11,-0.02,-0.03,0.11,0.0,-0.06,-0.01,-0.07,0.1,-0.06,-0.06,-0.02,0.07,0.11,0.0,0.15,-0.07,-0.06,-0.06,0.03,-0.12,-0.01,-0.2,-0.01,-0.15,-0.02,0.01,0.13,-0.12,0.04,0.01,-0.08,-0.05,0.18,-0.05,-0.21,-0.05,0.09,-0.01,0.07,-0.12,-0.03,0.04,-0.03,-0.01,-0.03,0.01,0.12,-0.12,-0.18
Windranger,-0.04,-0.03,-0.04,-0.1,-0.05,-0.09,-0.04,-0.03,0.02,-0.05,0.01,-0.2,-0.15,-0.07,0.0,-0.01,-0.01,0.01,-0.01,0.09,0.0,-0.01,0.0,0.03,0.07,0.01,0.1,0.09,0.02,-0.07,-0.03,0.12,0.04,0.03,0.04,0.14,-0.06,-0.08,-0.07,-0.04,-0.01,-0.01,-0.03,-0.02,0.06,0.08,0.03,0.0,0.09,-0.02,0.09,-0.05,-0.14,-0.08,0.05,-0.04,-0.01,0.07,0.0,0.01,0.09,0.12,0.05,-0.06,-0.14,-0.09,-0.01,0.02,0.09,0.01,-0.03,-0.08,-0.02,0.0,0.07,-0.07,-0.01,0.04,0.03,0.04,0.11,-0.04,0.06,-0.06,-0.02,-0.01,0.0,0.03,-0.09,0.06,-0.08,-0.01,0.05,0.05,-0.02,-0.01,0.06,-0.07,-0.01,-0.04,-0.21,-0.18,0.03,-0.05,0.07,-0.05,-0.02,0.03,0.07,-0.03,-0.02,0.22,-0.01,0.07,-0.03,0.01,-0.02,0.0,-0.02,-0.02,-0.01,-0.03,0.05
Zeus,0.03,-0.11,0.09,-0.04,0.02,0.03,0.06,0.0,0.04,0.12,0.05,-0.17,0.02,0.02,0.01,-0.01,0.05,-0.02,0.01,0.04,0.01,0.0,0.02,0.03,0.01,-0.04,0.07,-0.06,0.01,-0.02,-0.01,-0.02,0.0,-0.03,0.0,0.01,-0.03,-0.08,-0.11,-0.06,-0.03,0.01,0.11,-0.01,-0.02,-0.02,0.02,0.11,-0.08,0.02,0.05,-0.02,0.03,-0.14,-0.1,-0.06,0.02,0.01,0.04,0.04,0.03,-0.01,0.02,0.05,0.06,0.02,0.08,-0.03,-0.03,0.0,0.06,-0.04,-0.01,0.04,0.09,-0.03,-0.02,0.02,0.06,0.07,-0.21,0.01,0.0,-0.04,0.02,-0.02,-0.03,0.04,-0.02,-0.1,-0.0,-0.05,-0.01,0.05,0.0,-0.02,0.03,-0.08,0.01,0.03,0.02,0.04,0.01,-0.03,-0.01,-0.03,0.08,0.02,-0.03,-0.1,-0.07,-0.1,-0.07,-0.09,-0.0,0.01,0.06,0.01,0.03,0.07,0.03,0.02,-0.02
